Age,Temperature,Condition,Tool
68,51,sunny,lip balm
83,80,sunny,sun screen
46,62,cloudy,umbrella
60,44,sunny,lip balm
89,59,sunny,shovel
52,77,sunny,ice scraper
54,23,windy,head-phones
15,22,snowy,umbrella
40,48,cloudy,head-phones
69,40,sunny,umbrella
6,52,windy,sun screeen
48,53,cloudy,shovel
20,34,windy,sun screen
59,30,snowy,sun screeen
91,32,windy,umbrella
23,33,rainy,ice scraper
32,52,sunny,ice scraper
33,72,sunny,sun screen
83,24,rainy,umbrella
45,61,sunny,sun screen
29,25,cloudy,umbrella
5,20,rainy,sun screeen
64,20,snowy,sun screeen
54,31,sunny,ice scraper
11,58,sunny,ice scraper
7,2,sunny,umbrella
47,34,rainy,sun screeen
84,79,sunny,sun screeen
14,62,windy,umbrella
53,86,cloudy,shovel
46,62,rainy,sun screeen
24,48,rainy,umbrella
22,16,cloudy,ice scraper
97,48,cloudy,head-phones
85,22,sunny,umbrella
98,42,windy,head-phones
95,36,rainy,umbrella
75,91,cloudy,lip balm
57,26,snowy,umbrella
97,46,cloudy,sun screeen
48,68,sunny,sunscreen
84,5,sunny,shovel
45,79,sunny,sun screen
14,63,cloudy,ice scraper
23,53,rainy,umbrella
83,41,cloudy,shovel
58,44,cloudy,umbrella
59,38,windy,lip balm
4,60,sunny,lip balm
61,68,windy,shovel
30,36,rainy,shovel
78,42,snowy,sun screeen
28,75,sunny,sunscreen
32,69,cloudy,shovel
66,72,sunny,sun screeen
38,48,cloudy,head-phones
68,42,sunny,lip balm
39,30,windy,head-phones
65,40,windy,sun screen
17,17,cloudy,umbrella
68,16,windy,head-phones
12,57,windy,head-phones
33,87,cloudy,sun screen
85,10,snowy,shovel
38,24,windy,umbrella
46,39,windy,sun screen
2,24,snowy,sun screeen
3,57,windy,lip balm
62,21,sunny,shovel
6,54,windy,head-phones
80,46,windy,head-phones
73,56,windy,head-phones
1,80,cloudy,lip balm
59,64,rainy,shovel
86,66,sunny,lip balm
1,41,sunny,lip balm
82,26,cloudy,umbrella
27,8,windy,sun screeen
65,76,windy,shovel
46,66,windy,sun screeen
10,83,cloudy,sunscreen
43,55,rainy,ice scraper
63,97,rainy,shovel
58,52,windy,umbrella
10,57,windy,ice scraper
82,63,cloudy,head-phones
36,45,sunny,shovel
69,93,sunny,sun screen
52,51,cloudy,head-phones
47,92,rainy,umbrella
27,57,sunny,umbrella
81,60,windy,shovel
25,88,sunny,sun screeen
64,50,cloudy,umbrella
47,42,cloudy,head-phones
24,30,snowy,umbrella
67,0,cloudy,sun screeen
69,51,windy,shovel
29,36,cloudy,lip balm
55,30,sunny,shovel
38,59,windy,lip balm
58,36,rainy,umbrella
66,39,cloudy,umbrella
75,54,windy,umbrella
11,78,cloudy,shovel
13,53,windy,head-phones
94,43,cloudy,lip balm
3,52,windy,head-phones
98,31,cloudy,shovel
55,52,windy,head-phones
47,20,windy,head-phones
30,66,sunny,head-phones
76,81,rainy,lip balm
29,44,cloudy,sun screen
31,70,sunny,shovel
90,67,sunny,sun screeen
40,59,rainy,ice scraper
31,82,sunny,sunscreen
40,67,windy,shovel
31,16,sunny,sun screen
1,47,windy,sun screeen
85,28,snowy,sun screeen
19,50,windy,shovel
25,39,sunny,ice scraper
13,100,rainy,umbrella
31,0,sunny,sun screeen
48,47,cloudy,sun screeen
43,30,cloudy,sun screeen
16,60,sunny,sun screen
53,53,cloudy,head-phones
15,57,sunny,ice scraper
46,0,sunny,head-phones
50,7,cloudy,head-phones
86,91,cloudy,lip balm
27,8,snowy,umbrella
87,16,windy,head-phones
80,46,windy,umbrella
73,66,sunny,sun screen
71,40,cloudy,shovel
67,56,cloudy,head-phones
39,62,sunny,shovel
24,35,rainy,head-phones
27,77,rainy,sun screen
17,49,windy,umbrella
36,49,cloudy,sun screeen
33,34,windy,head-phones
79,50,sunny,sun screen
70,2,snowy,sun screeen
1,53,sunny,sun screen
3,24,snowy,sun screeen
29,6,snowy,sun screeen
75,0,cloudy,sun screeen
7,20,sunny,umbrella
36,0,cloudy,sun screeen
87,29,snowy,shovel
37,74,sunny,shovel
78,42,cloudy,umbrella
11,37,cloudy,sun screeen
54,86,sunny,umbrella
25,1,snowy,ice scraper
14,53,windy,head-phones
20,67,sunny,head-phones
31,94,windy,ice scraper
26,52,windy,head-phones
34,74,sunny,sun screeen
87,24,windy,sun screeen
85,60,cloudy,sun screen
58,50,cloudy,head-phones
76,53,cloudy,head-phones
42,42,rainy,sun screeen
21,13,cloudy,umbrella
98,68,windy,sun screen
30,58,rainy,sun screeen
51,37,cloudy,shovel
97,55,rainy,sun screeen
30,0,sunny,sun screeen
42,39,rainy,umbrella
27,83,cloudy,lip balm
73,32,sunny,umbrella
29,11,windy,sun screeen
16,70,sunny,shovel
50,26,snowy,sun screeen
22,87,cloudy,sun screen
84,47,windy,head-phones
15,61,windy,lip balm
70,14,cloudy,umbrella
20,33,snowy,umbrella
33,47,sunny,shovel
22,2,windy,sun screeen
64,50,rainy,lip balm
78,40,windy,sun screeen
29,64,cloudy,lip balm
94,67,windy,umbrella
48,53,windy,sunscreen
30,100,rainy,umbrella
97,74,cloudy,sun screen
11,100,rainy,sun screen
80,58,windy,head-phones
95,39,windy,head-phones
10,37,rainy,sun screeen
62,52,windy,lip balm
36,22,snowy,umbrella
65,84,cloudy,umbrella
97,47,cloudy,sun screeen
61,30,snowy,head-phones
17,42,rainy,ice scraper
60,47,sunny,shovel
15,88,sunny,ice scraper
68,81,rainy,shovel
26,17,cloudy,sun screeen
36,14,snowy,head-phones
15,24,sunny,sun screeen
68,100,sunny,shovel
17,24,windy,head-phones
33,40,rainy,sun screeen
54,73,cloudy,lip balm
16,53,windy,sun screeen
87,25,rainy,umbrella
3,33,rainy,lip balm
77,59,windy,umbrella
90,0,snowy,sun screeen
48,100,sunny,ice scraper
96,73,windy,lip balm
49,47,cloudy,umbrella
71,13,sunny,sun screeen
45,31,snowy,umbrella
28,36,windy,sun screeen
95,71,rainy,sun screeen
4,44,sunny,umbrella
8,30,snowy,umbrella
32,22,cloudy,umbrella
50,51,windy,head-phones
71,0,snowy,sun screeen
9,11,snowy,umbrella
87,88,rainy,head-phones
37,100,rainy,sun screeen
19,39,windy,head-phones
42,43,cloudy,head-phones
79,53,windy,head-phones
75,78,rainy,umbrella
66,5,sunny,shovel
61,100,sunny,sun screen
17,71,rainy,sunscreen
44,58,windy,head-phones
42,8,snowy,sun screeen
29,50,windy,sun screeen
44,37,cloudy,head-phones
58,68,windy,sun screeen
4,42,cloudy,head-phones
60,27,snowy,shovel
79,6,windy,head-phones
23,47,cloudy,umbrella
38,24,snowy,sun screeen
83,86,sunny,sun screen
16,50,windy,sun screeen
40,51,sunny,lip balm
98,97,sunny,shovel
8,34,windy,head-phones
59,16,windy,head-phones
23,62,sunny,sun screen
1,67,windy,sun screen
88,80,sunny,lip balm
21,40,cloudy,head-phones
67,59,sunny,shovel
41,76,sunny,umbrella
7,30,cloudy,sun screeen
58,34,windy,head-phones
72,62,cloudy,sun screen
13,29,cloudy,sun screeen
32,98,sunny,lip balm
13,67,sunny,shovel
36,85,sunny,ice scraper
66,51,cloudy,sun screen
52,74,rainy,shovel
52,22,sunny,sun screeen
1,74,cloudy,sun screen
3,39,windy,sun screeen
59,32,cloudy,head-phones
5,95,sunny,umbrella
13,40,windy,sun screeen
53,40,sunny,ice scraper
18,93,sunny,shovel
16,45,cloudy,ice scraper
44,0,snowy,umbrella
15,51,windy,head-phones
55,30,snowy,sun screeen
24,22,snowy,umbrella
5,64,sunny,lip balm
56,31,cloudy,shovel
59,43,sunny,ice scraper
37,54,sunny,shovel
42,56,cloudy,head-phones
16,69,sunny,umbrella
61,76,cloudy,lip balm
22,73,sunny,shovel
35,32,rainy,sun screeen
63,83,windy,sunscreen
98,0,rainy,umbrella
63,64,sunny,umbrella
60,52,windy,shovel
67,42,windy,sun screeen
53,60,windy,ice scraper
96,11,snowy,sun screeen
90,74,sunny,head-phones
7,73,sunny,shovel
82,74,windy,sun screeen
5,36,windy,shovel
95,42,cloudy,sun screeen
96,9,snowy,shovel
11,66,sunny,lip balm
6,71,windy,head-phones
1,58,rainy,sun screeen
83,58,cloudy,sun screen
83,59,cloudy,sun screeen
29,39,windy,sun screeen
93,40,rainy,umbrella
2,25,windy,lip balm
28,52,rainy,sun screeen
56,94,sunny,ice scraper
59,72,sunny,shovel
76,30,sunny,sun screeen
87,30,sunny,lip balm
20,53,windy,head-phones
62,77,sunny,sun screen
92,22,sunny,sun screeen
97,3,cloudy,sun screeen
91,94,sunny,sunscreen
41,33,snowy,sun screeen
39,45,windy,head-phones
2,65,cloudy,head-phones
75,44,cloudy,sun screeen
80,82,sunny,sun screen
9,8,rainy,ice scraper
6,61,cloudy,shovel
26,27,windy,sun screeen
18,59,windy,head-phones
46,34,windy,ice scraper
5,79,sunny,sun screeen
13,56,windy,shovel
92,68,sunny,sun screen
54,51,windy,sun screeen
60,25,snowy,umbrella
6,34,cloudy,sun screeen
15,45,snowy,sun screeen
26,80,rainy,sun screen
82,10,snowy,sun screeen
30,11,snowy,sun screeen
36,32,sunny,ice scraper
96,75,rainy,sun screeen
71,23,snowy,umbrella
26,48,sunny,lip balm
30,41,windy,ice scraper
19,30,sunny,shovel
76,40,sunny,umbrella
7,47,rainy,sun screeen
40,100,rainy,umbrella
32,79,sunny,shovel
39,44,rainy,umbrella
25,19,snowy,sun screeen
92,33,rainy,umbrella
60,14,windy,head-phones
69,8,snowy,sun screeen
90,35,snowy,sun screeen
31,23,cloudy,sun screeen
89,40,windy,lip balm
95,25,sunny,lip balm
4,32,cloudy,head-phones
57,57,cloudy,shovel
50,65,rainy,umbrella
86,45,windy,sun screeen
68,51,cloudy,sun screeen
66,25,sunny,sun screeen
7,33,rainy,lip balm
31,36,cloudy,shovel
2,36,cloudy,head-phones
31,100,cloudy,sun screen
63,49,rainy,sun screeen
80,54,windy,sun screeen
37,61,windy,shovel
85,84,sunny,sun screen
80,100,rainy,lip balm
50,37,windy,head-phones
87,35,rainy,sun screeen
54,91,sunny,head-phones
42,23,snowy,sun screeen
39,44,windy,shovel
70,27,snowy,sun screeen
96,22,windy,sun screeen
38,50,sunny,sun screeen
58,63,windy,sun screeen
72,62,rainy,umbrella
41,58,rainy,shovel
49,50,cloudy,head-phones
28,44,rainy,umbrella
6,22,rainy,shovel
45,25,sunny,sun screeen
34,71,cloudy,shovel
42,22,rainy,sun screeen
31,66,rainy,head-phones
29,35,sunny,head-phones
54,45,cloudy,head-phones
78,72,sunny,shovel
23,67,rainy,lip balm
88,53,cloudy,lip balm
43,43,rainy,lip balm
26,16,windy,head-phones
32,80,sunny,sun screen
14,64,cloudy,ice scraper
20,30,snowy,umbrella
5,76,windy,lip balm
43,44,windy,head-phones
44,40,rainy,sun screeen
77,69,cloudy,lip balm
23,64,cloudy,umbrella
86,63,cloudy,sun screeen
90,38,sunny,umbrella
62,65,sunny,umbrella
52,21,cloudy,sun screeen
59,64,cloudy,sun screen
81,22,snowy,sun screeen
40,81,rainy,umbrella
92,78,rainy,umbrella
20,29,sunny,sun screeen
17,12,windy,sun screeen
27,46,windy,ice scraper
62,12,snowy,sun screeen
96,60,cloudy,sun screeen
47,100,sunny,sunscreen
91,40,sunny,shovel
27,41,cloudy,ice scraper
50,40,windy,sun screen
66,82,cloudy,lip balm
65,25,windy,head-phones
87,59,windy,sun screeen
16,55,sunny,sun screen
9,58,windy,head-phones
53,100,sunny,ice scraper
72,97,sunny,sun screen
96,78,windy,head-phones
22,40,windy,head-phones
11,87,sunny,sunscreen
11,51,sunny,ice scraper
10,24,snowy,sun screeen
67,37,windy,head-phones
6,82,sunny,shovel
1,69,sunny,lip balm
47,86,sunny,shovel
71,64,rainy,sun screen
24,73,cloudy,sunscreen
12,10,cloudy,umbrella
55,54,windy,lip balm
44,64,windy,lip balm
