Age,Temperature,Condition,Clothing
91,87,sunny,sneakers
56,68,cloudy,hat
14,37,windy,jacket
68,71,sunny,hat
65,64,cloudy,jacket
78,41,cloudy,jacket
2,66,rainy,shorts
84,22,snowy,jacket
84,37,cloudy,hat
45,67,windy,jeans
41,62,rainy,t-shirt
28,17,windy,boots
26,0,sunny,gloves
12,49,sunny,gloves
44,28,windy,sweater
63,35,cloudy,jeans
89,49,sunny,shorts
16,59,cloudy,jacket
23,54,rainy,hat
19,62,rainy,t-shirt
85,50,windy,sneakers
33,59,windy,scarf
28,45,cloudy,sweater
77,31,windy,boots
54,68,cloudy,hat
53,34,rainy,hat
59,39,cloudy,sneakers
36,51,rainy,jeans
98,53,cloudy,jacket
54,53,windy,sweater
74,78,rainy,sweater
60,99,rainy,t-shirt
61,60,sunny,gloves
30,67,rainy,shorts
87,72,sunny,shorts
79,51,sunny,hat
16,55,rainy,jacket
58,59,rainy,boots
19,48,sunny,jacket
26,70,rainy,boots
42,67,sunny,sneakers
26,56,rainy,raincoat
23,70,cloudy,t-shirt
74,51,rainy,sneakers
89,79,sunny,jacket
43,48,cloudy,scarf
3,45,windy,boots
67,45,rainy,raincoat
48,54,windy,jacket
79,70,cloudy,shorts
43,54,cloudy,sneakers
54,41,cloudy,hat
71,41,windy,jeans
76,34,sunny,sweater
81,73,sunny,shorts
87,77,rainy,sneakers
84,26,cloudy,hat
74,31,snowy,coat
22,11,cloudy,coat
85,82,windy,jeans
37,46,sunny,sweater
78,47,cloudy,boots
45,79,cloudy,sneakers
16,3,cloudy,coat
73,48,sunny,shorts
30,34,windy,jeans
52,48,cloudy,sweater
75,69,windy,gloves
48,37,windy,sneakers
3,41,cloudy,gloves
11,64,sunny,sneakers
10,22,windy,jacket
42,19,cloudy,gloves
20,22,snowy,scarf
9,69,windy,jeans
62,100,rainy,jeans
21,100,windy,shorts
46,87,sunny,shorts
10,89,sunny,sneakers
7,53,sunny,shorts
51,70,rainy,raincoat
89,0,snowy,sweater
57,45,cloudy,gloves
65,43,cloudy,sweater
96,85,rainy,shorts
51,60,cloudy,jacket
96,54,windy,sneakers
33,53,rainy,t-shirt
6,51,rainy,sweater
79,89,rainy,t-shirt
47,49,rainy,raincoat
63,27,cloudy,sweater
51,85,sunny,sneakers
77,25,windy,gloves
53,100,rainy,boots
23,42,rainy,jeans
26,52,rainy,raincoat
2,41,windy,hat
63,34,windy,coat
98,100,windy,jeans
28,7,snowy,boots
34,20,windy,gloves
14,61,rainy,raincoat
14,73,sunny,t-shirt
88,39,cloudy,sweater
62,54,sunny,shorts
38,0,sunny,t-shirt
28,15,snowy,boots
85,67,sunny,t-shirt
91,40,sunny,t-shirt
96,50,rainy,t-shirt
72,26,cloudy,jacket
79,18,snowy,coat
98,55,sunny,gloves
14,100,sunny,t-shirt
11,65,cloudy,shorts
23,39,windy,scarf
6,81,windy,raincoat
42,42,windy,jacket
80,22,windy,gloves
78,24,cloudy,hat
90,78,cloudy,sneakers
32,83,sunny,shorts
85,68,sunny,coat
26,15,windy,coat
87,43,rainy,jeans
13,97,sunny,t-shirt
34,55,cloudy,raincoat
63,39,sunny,shorts
80,85,sunny,coat
44,76,sunny,jeans
45,32,cloudy,jacket
38,31,windy,jacket
55,75,windy,t-shirt
60,66,cloudy,sneakers
19,48,windy,boots
49,43,windy,hat
87,20,windy,coat
76,80,cloudy,sweater
16,83,rainy,shorts
33,54,cloudy,jeans
79,24,sunny,coat
75,73,sunny,gloves
89,87,rainy,sneakers
20,43,cloudy,coat
58,47,windy,raincoat
1,96,windy,t-shirt
91,28,sunny,hat
58,66,sunny,t-shirt
