Age,Temperature,Condition,Activity
69,60,rainy,play board games
42,33,cloudy,read
63,43,windy,play board games
9,85,windy,play board games
84,12,snowy,read
88,59,windy,hike
70,74,sunny,hike
54,79,sunny,hike
29,72,windy,hike
57,60,cloudy,hike
41,24,windy,fly kites
93,51,cloudy,read
30,92,sunny,garden
3,66,cloudy,play board games
42,100,cloudy,garden
16,70,windy,fly kites
63,63,sunny,garden
16,47,sunny,fly kites
83,94,cloudy,picnic
6,50,sunny,fly kites
96,49,rainy,hike
60,54,windy,play board games
41,33,windy,picnic
57,42,sunny,read
87,42,windy,read
41,26,windy,read
6,30,snowy,play board games
54,66,cloudy,hike
82,37,windy,read
81,52,cloudy,picnic
51,38,windy,play board games
22,25,snowy,play board games
57,63,cloudy,fly kites
20,100,sunny,garden
91,1,cloudy,play board games
20,28,snowy,play board games
22,27,snowy,play board games
92,39,cloudy,read
51,88,sunny,fly kites
58,45,cloudy,picnic
65,2,snowy,play board games
48,25,snowy,play board games
70,83,cloudy,fly kites
12,26,snowy,run
63,23,cloudy,play board games
57,13,sunny,hike
32,22,cloudy,fly kites
19,20,snowy,read
28,96,sunny,garden
38,53,windy,garden
28,100,rainy,read
73,14,windy,fly kites
93,2,sunny,play board games
63,61,cloudy,garden
4,77,windy,play board games
90,57,sunny,picnic
66,19,cloudy,fly kites
78,58,windy,garden
42,51,windy,picnic
17,79,sunny,fly kites
46,20,cloudy,hike
2,38,cloudy,play board games
8,11,sunny,read
7,55,rainy,play board games
37,57,windy,play board games
2,70,sunny,swim
93,42,cloudy,play board games
26,71,sunny,swim
72,87,sunny,play board games
74,52,sunny,play board games
24,28,windy,read
79,30,cloudy,play board games
38,21,cloudy,run
28,72,windy,run
32,51,cloudy,hike
34,49,windy,hike
70,17,sunny,picnic
36,78,sunny,garden
23,84,sunny,picnic
13,64,windy,read
65,18,sunny,play board games
3,44,rainy,read
63,44,windy,play board games
55,43,rainy,run
40,46,sunny,hike
57,69,sunny,swim
26,87,sunny,swim
11,51,windy,hike
56,83,cloudy,picnic
82,27,snowy,read
8,39,windy,hike
50,15,snowy,read
88,58,windy,hike
52,23,cloudy,fly kites
43,91,sunny,swim
41,29,sunny,garden
63,36,windy,read
71,16,windy,read
93,72,rainy,fly kites
43,50,sunny,hike
52,14,snowy,read
79,46,windy,read
64,55,rainy,read
98,91,sunny,garden
88,48,rainy,read
98,37,sunny,play board games
38,55,rainy,hike
93,83,rainy,play board games
