Age,Temperature,Condition,Clothing
72,44,cloudy,hand sanitizer
16,28,sunny,lip balm
43,42,cloudy,lip balm
41,21,cloudy,hand warmer
11,73,sunny,sunscreen
14,85,rainy,sunscreen
12,43,windy,tissues
42,79,windy,poncho
71,24,sunny,hand warmer
38,37,cloudy,sunglasses
68,46,rainy,poncho
92,29,cloudy,tissues
87,55,cloudy,tissues
32,56,windy,tissues
90,90,windy,bag
49,43,windy,lip balm
10,31,sunny,umbrella
61,28,snowy,hand warmer
23,73,windy,sunscreen
27,41,sunny,umbrella
56,22,windy,hand sanitizer
17,9,snowy,hand warmer
89,83,windy,sunscreen
53,46,rainy,hand warmer
5,29,sunny,tissues
69,78,sunny,sunscreen
71,8,sunny,water bottle
57,51,rainy,umbrella
78,27,cloudy,lip balm
90,37,windy,flashlight
45,64,sunny,lip balm
33,35,sunny,sunglasses
1,0,snowy,water bottle
75,59,windy,sunscreen
62,71,windy,sunscreen
21,41,windy,tissues
9,65,windy,lip balm
78,43,snowy,bag
76,79,sunny,sunscreen
70,0,windy,bag
26,48,cloudy,hand sanitizer
63,0,snowy,tissues
65,4,sunny,hand warmer
10,53,windy,hand sanitizer
75,16,snowy,hand warmer
26,38,rainy,bag
22,73,rainy,sunglasses
52,24,snowy,hand warmer
43,22,snowy,bag
29,70,windy,lip balm
46,95,windy,bag
6,18,rainy,lip balm
71,4,windy,tissues
65,33,rainy,portable fan
7,39,sunny,portable fan
58,47,cloudy,hand sanitizer
1,84,windy,bag
15,57,rainy,poncho
31,52,cloudy,water bottle
69,50,cloudy,sunscreen
22,94,sunny,water bottle
70,32,cloudy,tissues
20,26,cloudy,hand warmer
67,30,sunny,water bottle
26,12,sunny,hand sanitizer
81,73,sunny,tissues
12,16,sunny,sunglasses
64,46,cloudy,hand warmer
31,49,cloudy,lip balm
78,43,rainy,flashlight
87,79,windy,sunscreen
96,23,windy,sunscreen
19,53,rainy,bag
87,61,windy,water bottle
30,78,sunny,sunglasses
17,25,windy,bag
27,69,rainy,sunglasses
18,42,windy,hand sanitizer
64,35,cloudy,sunglasses
41,48,rainy,umbrella
13,43,snowy,tissues
7,53,rainy,umbrella
96,56,cloudy,hand warmer
67,62,cloudy,water bottle
44,48,cloudy,bag
90,68,sunny,portable fan
32,25,snowy,hand warmer
35,0,windy,hand warmer
13,42,cloudy,tissues
83,37,windy,water bottle
88,24,snowy,lip balm
26,67,rainy,poncho
48,31,cloudy,hand warmer
85,36,windy,hand sanitizer
97,88,rainy,water bottle
1,45,rainy,tissues
57,45,snowy,tissues
60,66,windy,water bottle
94,53,sunny,water bottle
1,14,snowy,lip balm
44,66,windy,umbrella
89,57,sunny,portable fan
13,53,cloudy,lip balm
51,95,sunny,portable fan
31,94,sunny,hand sanitizer
69,81,sunny,lip balm
82,31,snowy,sunglasses
4,82,rainy,water bottle
74,26,windy,hand warmer
61,45,cloudy,umbrella
4,31,snowy,hand warmer
31,18,sunny,sunglasses
50,45,windy,poncho
68,16,sunny,lip balm
60,0,windy,umbrella
69,56,windy,tissues
98,18,snowy,sunscreen
97,38,cloudy,sunscreen
88,42,cloudy,tissues
39,26,sunny,flashlight
31,37,windy,tissues
48,50,windy,lip balm
39,40,rainy,tissues
88,5,snowy,lip balm
58,83,sunny,portable fan
17,15,windy,tissues
83,92,sunny,umbrella
61,72,sunny,umbrella
23,7,snowy,sunscreen
92,77,cloudy,water bottle
80,58,sunny,bag
40,70,rainy,umbrella
70,96,sunny,sunglasses
36,39,sunny,umbrella
6,59,cloudy,lip balm
40,34,windy,flashlight
40,74,cloudy,tissues
87,68,sunny,tissues
58,49,cloudy,portable fan
